Region;District;/;/m/;/k/;/08-00/;/08-00/m/;/08-00/k/;/08-00/08/;/08-00/09/;/08-00/00/;/08-00/Rest/;/1-2/;/1-2/m/;/1-2/k/;/1-2/I-V/;/1-2/I-V/m/;/1-2/I-V/k/;/1-2/VI-VII/;/1-2/VI-VII/m/;/1-2/VI-VII/k/;/1-2/VIII/;/1-2/VIII/m/;/1-2/VIII/k/;/1-2/cat_not_defined/;/1-2/cat_not_defined/m/;/1-2/cat_not_defined/k/;/1-2/10/;/1-2/10/101/;/1-2/10/102/;/1-2/10/103/;/1-2/10/104/;/1-2/10/105/;/1-2/10/106/;/1-2/11-13/;/1-2/11-13/111/;/1-2/11-13/121/;/1-2/11-13/112/;/1-2/11-13/113/;/1-2/11-13/114/;/1-2/11-13/115/;/1-2/11-13/116/;/1-2/11-13/117/;/1-2/11-13/118/;/1-2/11-13/119/;/1-2/11-13/122/;/1-2/11-13/123/;/1-2/11-13/124/;/1-2/11-13/125/;/1-2/11-13/127/;/1-2/11-13/128/;/1-2/11-13/129/;/1-2/11-13/132/;/1-2/11-13/133/;/1-2/11-13/134/;/1-2/11-13/135/;/1-2/11-13/136/;/1-2/11-13/137/;/1-2/11-13/Rest/;/1-2/14-15/;/1-2/14-15/141/;/1-2/14-15/142/;/1-2/14-15/143/;/1-2/14-15/144/;/1-2/14-15/146/;/1-2/14-15/147/;/1-2/14-15/148/;/1-2/14-15/149/;/1-2/14-15/152/;/1-2/14-15/153/;/1-2/14-15/154/;/1-2/14-15/155/;/1-2/16/;/1-2/16/161/;/1-2/16/162/;/1-2/16/163/;/1-2/16/164/;/1-2/16/165/;/1-2/16/166/;/1-2/16/167/;/1-2/16/168/;/1-2/16/169/;/1-2/17-18/;/1-2/17-18/171/;/1-2/17-18/172/;/1-2/17-18/173/;/1-2/17-18/174/;/1-2/17-18/175/;/1-2/17-18/176/;/1-2/17-18/177/;/1-2/17-18/178/;/1-2/17-18/179/;/1-2/17-18/182/;/1-2/19/;/1-2/19/192/;/1-2/19/193/;/1-2/20-21/;/1-2/20-21/201/;/1-2/20-21/202/;/1-2/20-21/203/;/1-2/20-21/204/;/1-2/20-21/205/;/1-2/20-21/206/;/1-2/20-21/207/;/1-2/20-21/208/;/1-2/20-21/209/;/1-2/20-21/212/;/1-2/20-21/213/;/1-2/20-21/214/;/1-2/20-21/215/;/1-2/20-21/216/;/1-2/20-21/217/;/1-2/22/;/1-2/22/221/;/1-2/22/222/;/1-2/22/223/;/1-2/22/224/;/1-2/23/;/1-2/23/231/;/1-2/23/232/;/1-2/23/233/;/1-2/23/234/;/1-2/23/235/;/1-2/23/236/;/1-2/24-25/;/1-2/24-25/241/;/1-2/24-25/242/;/1-2/24-25/243/;/1-2/24-25/244/;/1-2/24-25/245/;/1-2/24-25/246/;/1-2/24-25/247/;/1-2/24-25/248/;/1-2/24-25/249/;/1-2/24-25/252/;/1-2/24-25/253/;/1-2/24-25/254/;/1-2/24-25/255/;/1-2/26/;/1-2/26/261/;/1-2/26/262/;/1-2/26/263/;/1-2/26/264/;/1-2/27/;/1-2/27/271/;/1-2/27/272/;/1-2/27/273/;/1-2/27/274/;/1-2/27/275/;/1-2/27/276/;/1-2/27/277/;/1-2/27/278/;/1-2/27/279/;/1-2/28/;/1-2/28/281/;/1-2/28/282/;/1-2/28/283/;/1-2/28/284/;/1-2/29/;/1-2/29/292/;/1-2/29/293/;/1-2/2x/;/1-2/2x/m/;/1-2/2x/k/;/1-2/Rest/;/3/;/3/m/;/3/w/;/3/30/;/3/31/;/3/31/311/;/3/31/312/;/3/31/313/;/3/31/314/;/3/32/;/3/32/321/;/3/32/322/;/3/32/323/;/3/32/324/;/3/32/325/;/3/34/;/3/35/;/3/35/;/3/Rest/;/4/;/4/m/;/4/w/;/4/40/;/4/41/41/;/4/41/412/;/4/41/413/;/4/41/414/;/4/42/;/4/43/43/;/4/44/;/4/44/441/;/4/44/442/;/4/44/443/;/4/44/444/;/4/44/445/;/4/44/446/;/4/45/45/;/4/Rest/;/5-n/;/5-n/m/;/5-n/k/;/5/;/5/50/;/5/51/;/5/51/512/;/5/51/513/;/5/51/514/;/5/52/;/5/52/522/;/5/52/523/;/5/52/524/;/5/53/;/5/53/531/;/5/53/532/;/5/53/533/;/5/53/535/;/5/53/536/;/5/54/;/5/54/542/;/5/54/543/;/5/55/;/5/Rest/;/7/;/7/70/;/7/70/701/;/7/70/702/;/7/70/703/;/7/70/704/;/7/70/705/;/7/70/706/;/7/71/;/7/71/712/;/7/71/713/;/7/71/714/;/7/71/715/;/7/72/;/7/72/722/;/7/72/723/;/7/73/;/7/73/731/;/7/73/732/;/7/73/733/;/7/74/;/7/74/741/;/7/74/742/;/7/74/743/;/7/74/744/;/7/Rest/;/8/;/8/80/;/8/80/801/;/8/80/802/;/8/80/803/;/8/80/804/;/8/80/805/;/8/80/806/;/8/80/807/;/8/81/;/8/81/811/;/8/81/812/;/8/81/813/;/8/81/814/;/8/81/815/;/8/81/816/;/8/82/;/8/Rest/;/9/;/x/;/x/x1/;/n/
Warszawskie;Błonie;34972;23499;11473;522;426;96;361;22;139;;20382;15297;5085;7452;4927;2525;747;545;202;3977;3293;684;8206;6532;1674;;;;;;;;1922;249;;;;;;;;;;;317;409;;;;;155;;;;;;;834;154;;;;498;;;;;;;;856;;;;;;682;;;;885;;;;;574;;;;;;;;;4628;;;;;;;;;3797;;;;;;494;296;;190;;;3156;;1327;411;;1310;;2579;;261;402;;941;;;;;;;753;;;;;;;2652;;;759;1332;;;266;;;;;;;;;;;2162;1555;607;412;3670;2119;1551;;2443;2232;;;;945;;681;;;224;194;;;88;2361;2240;121;288;;;;;1523;;413;;;;;174;;;137;8037;3417;4620;1425;;833;376;327;;;;;;254;;163;;;;199;;;;139;906;578;;426;;;;;;;;;;;;;;;;;;;;;;328;882;346;;;;;;;;477;;;325;;;;59;;1848;2666;;310
Warszawskie;Ciechanów;8606;5894;2712;191;155;36;126;8;57;;4515;3654;861;783;714;69;82;72;10;1193;969;224;2457;1899;558;;;;;;;;373;;;;;;;;;;;;216;;;;;;;;;;;;;;;;;;;;;;;;;;113;;;;;;98;;;;294;;;;;175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1193;;622;;;489;;1185;;173;119;;617;;;;;;;181;;;;;;;342;;;;240;;;;;;;;;;;;;;889;627;262;126;1296;778;518;;959;898;;;;260;;167;;;;;;;77;361;339;22;;;;;;132;;141;;;;;;;;88;2243;968;1275;375;;169;;92;;;;;;75;;;;;;79;;;;52;343;278;;213;;;;;;;;;;;;;;;;;;;;;;65;206;;;;;;;;;;;;;;;;;;685;468;;166
Warszawskie;Gostynin;7848;5665;2183;288;262;26;;;170;118;4299;3589;710;575;494;81;223;208;15;1193;1048;145;2308;1839;469;;;;;;;;361;;;;;;;;;;;;149;;;;;;;;;;;;;;;;;;;;;;;;;;109;;;;;;62;;;;469;;;;77;202;;;;;;334;333;;;;;;;;;;;;;;;;;;;;;;;1107;;496;;;544;;675;;215;94;;113;;;;;;;188;;;;;;;352;;;;249;;;;;;;;;;;;;;694;446;248;198;1050;661;389;;833;742;;70;;189;;112;;;;;;;28;326;317;9;;;;;;66;;134;;;;;;;;126;1885;836;1049;385;;185;;132;;;;;;;;;;;;104;;;;96;299;263;;230;;;;;;;;;;;;;;;;;;;;;;36;175;;;;;;;;;;;;;;;;;;595;404;;27
Warszawskie;Grójec;16517;11680;4837;461;414;47;285;40;136;;8345;7026;1319;724;640;84;242;216;26;1867;1632;235;5512;4538;974;;;;;;;;908;;;;;;;;181;;;;304;197;;;;;;;;;;;;;;;;;;;;;;;;;586;;;;;;539;;;;560;;;;;338;;;;;;;;;;;;;;;;;;;;;;;;;196;;;;;2848;;1083;;;1584;;1218;;307;352;;;;;;;;;419;;;;;;;729;;;;457;;;;;;;;;;;;;;1021;705;316;279;2696;1709;987;;2205;2022;;136;;426;;230;;;;;;;65;690;667;23;;;;;;;;426;;;;;254;;;264;4325;1864;2461;826;;230;;;;;;;;360;;;;;;163;;;;73;532;415;;321;;;;;;;;;;;;;;;;;;;;;;117;432;;;;;;;;;;;;;;;;;;975;1461;;99
Warszawskie;Kutno;18467;13704;4763;243;220;23;202;;;41;9677;8175;1502;2458;2125;333;237;218;19;1680;1479;201;5302;4353;949;;;;;;;;1076;;;;;;;;;;;;274;281;;;;;;;212;;;;;;;;;;;;;;;;;;134;;;;;;;;;;417;;;;;250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1778;;900;;;744;;3217;;329;241;;1977;;;;;;;489;;;;;;;863;;;;562;;;;;;;;;;;;;;1898;1395;503;294;2503;1604;899;;1850;1693;;;;553;;399;;;;;;;100;1920;1879;41;;;;;;1459;;301;;;;;114;;;160;4124;1826;2298;629;;344;;216;;;;;;;;;;;;;;;;285;493;348;;287;;;;;;;;;;;;;;;;;;;;;;145;405;;;;;;;;;221;;;;;;;;184;1352;925;;320
Warszawskie;Lipno;8912;6252;2660;339;308;31;143;95;101;;4435;3650;785;189;177;12;112;109;3;1387;1194;193;2747;2170;577;;;;;;;;434;;;;;;;;;;;;285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;437;;;;;206;;;118;;;;;;;;;;;;;;;;;;;;;;;;;;;1238;;566;;;605;;853;;216;153;;110;;;;;;;298;;;;;;;398;;;;279;;;;;;;;;;;;;;828;575;253;247;1388;891;497;;1073;999;;;;268;;177;;;;;;;47;363;346;17;;;;;;148;;119;;;;;;;;96;2387;1057;1330;412;;180;;115;;;;;;65;;;;;;110;;;;57;414;337;;279;;;;;;;;;;;;;;;;;;;;;;77;191;;;;;;;;;;;;;;;;;;878;459;;33
Warszawskie;Łowicz;11066;7956;3110;189;166;23;83;;;106;5179;4316;863;470;401;69;270;232;38;1475;1310;165;2964;2373;591;;;;;;;;470;;;;;;;;;;;;216;;;;;;;;;;;;;;;;;;;;;;;;;;258;;;;;;;;;;332;;;;;223;;;;;;;;;240;;;;;;;;;;;;;;;;;;;;;1231;;543;;;583;;826;;220;126;;168;;;;;;;236;;;;;;;457;;;;312;;;;;;;;;;;;;;1216;867;349;149;1653;989;664;;1171;1094;;;;408;;274;;;;;;;74;1070;1037;33;;;;;;757;;195;;;;;92;;;118;2975;1448;1527;527;;209;;111;;;;;;97;;;;;;158;;;;63;444;381;;285;;;;;;;;;;;;;;;;;;;;;;63;232;;;;;;;;;;;;;;;;;;758;828;;186
Warszawskie;Maków;5671;4114;1557;159;143;16;;;85;74;2995;2480;515;68;65;3;52;51;1;948;818;130;1927;1546;381;;;;;;;;247;;;;;;;;;;;;151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;348;;;;;196;;;;;;;;;;;;;;;;;;;;;;;;;73;;;;;1090;;491;;;539;;457;;111;125;;;;;;;;;195;;;;;;;207;;;;146;;;;;;;;;;;;;;463;312;151;110;1026;630;396;;845;779;;;;155;;97;;;;;;;26;215;205;10;;;;;;;;128;;;;;59;;;87;1276;656;620;278;;119;;;;;;;;53;;;;;;66;;;;40;253;210;;184;;;;;;;;;;;;;;;;;;;;;;43;119;;;;;;;;;;;;;;;;;;299;280;;47
Warszawskie;Mińsk;13444;9843;3601;169;155;14;;;87;82;7073;5973;1100;740;703;37;216;194;22;2775;2361;414;3342;2715;627;;;;;;;;1265;380;;;;;;426;;;;;224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;528;;;;;314;;;;;;;;;175;;;;;;;;;;;;;;;;158;;;;;2796;;839;;;1641;;820;;168;236;;;;;;;;;345;;;;;;;435;;;;299;;;;;;;;;;;;;;663;442;221;233;2319;1413;906;;1864;1637;;186;;384;;233;;;;;;;71;929;901;28;;;;;;472;;253;;;;;142;;129;75;2954;1401;1553;556;;217;;;;;;;;;;;;;;214;;;;125;510;429;;307;;;;;;;;;;;;;;;;;;;;;;81;411;242;;;;;;;;;;;;;;;;169;615;656;;206
Warszawskie;Mława;10353;7145;3208;167;141;26;;;;;5210;4107;1103;111;103;8;148;132;16;1207;1062;145;3744;2810;934;;;;;;;;461;;;;;;;;;;;;240;;;;;;;;;;;;;;;;;;;;;;;;;;126;;;;;;;;;;337;;;;;172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1475;;616;;;740;;671;;173;158;;;;;;;;;252;;;;;;;346;;;;219;;;;;;;;;;;;;;1550;968;582;244;1653;1104;549;;1169;1106;;;;412;;307;;;;;;;72;540;522;18;;;;;;283;;136;;;;;;;;121;2783;1271;1512;621;;209;;136;;114;;;;117;;;;;;167;;;;14;433;365;;280;;;;;;;;;;;;;;;;;;;;;;68;222;;;;;;;;;;;;;;;;;;765;684;;58
Warszawskie;Nieszawa;13335;9546;3789;369;304;65;249;;;120;7064;5868;1196;858;810;48;75;71;4;1430;1281;149;4701;3706;995;;;;;;;;566;;;;;;;;;;;;311;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;450;;;;;261;;;127;;;;;;;;;;;;;;;;;;;;;;;;;;;1652;;722;;;831;;1681;;354;209;;627;;;;;;;401;;;;;;;799;;;222;373;;;;;;;;;;;;;;1499;1034;465;417;1768;1049;719;;1263;1190;;;;452;;277;;;;;;;53;812;792;20;;;;;;474;;183;;;;;;;;155;3322;1533;1789;575;;256;;172;;;;;;;;;;;;190;;109;;129;479;387;;302;;;;;;;;;;;;;;;;;;;;;;92;492;291;150;;;;;;;;;;;;;;;201;1007;686;;83
Warszawskie;Płock;20642;13913;6729;478;382;96;344;;;134;9136;7392;1744;800;756;44;321;292;29;1868;1581;287;6147;4763;1384;;;;;;;;882;;;;;;;;;;;;332;211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;611;;;;;332;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2325;;1169;;;904;;1580;;398;255;;461;;;;;;;377;;;;;;;1064;;;300;510;;;;;;;;;;;;;;2093;1479;614;581;2978;1871;1107;;2016;1860;;;;822;;534;;;;;;;140;1223;1170;53;;358;;358;;;;395;;;;;143;;281;189;6827;3098;3729;1676;;621;147;446;;174;;;;141;;;;;;699;523;176;;41;765;557;;374;;;;;;;;;;;;;;;;;;;;;;208;541;242;;;;;;;;243;;;;;;;56;;1673;1772;;400
Warszawskie;Płońsk;7982;5726;2256;224;205;19;134;;;90;4155;3328;827;81;80;1;258;216;42;1776;1465;311;2040;1567;473;;;;;;;;391;;;;;;;;;;;;223;;;;;;;;;;;;;;;;;;;;;;;;;;127;;;;;;70;;;;347;;;;;203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1389;170;679;;;469;;578;;208;141;;;;;;;;;160;;;;;;;310;;;;226;;;;;;;;;;;;;;896;607;289;117;1161;771;390;;876;815;;;;230;;168;;;;;;;55;419;408;11;;87;;87;;67;;182;;;;;73;47;;83;2023;1014;1009;471;;137;;85;;;;;;70;;;;;;212;;70;;52;343;230;;223;;;;;;;;;;;;;;;;;;;;;;113;191;;;;;;;;;109;;;;;;;;82;605;384;;29
Warszawskie;Przasnysz;5431;3851;1580;160;145;15;;;88;72;2721;2193;528;83;80;3;91;88;3;746;629;117;1801;1396;405;;;;;;;;287;;;;;;;;;;;;173;78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;350;;;;89;197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;686;;315;;;326;;388;;123;98;;;;;;;;;106;;;;;;;202;;;;153;;;;;;;;;;;;;;709;460;249;99;830;541;289;;622;582;;;;176;;122;;;;;;;32;185;177;8;;;;;;;;88;;;;;;;;97;1535;795;740;525;;131;;;;;;;;158;;54;97;;;189;;;;47;237;183;;162;;;;;;;;;;;;;;;;;;;;;;54;123;;;;;;;;;;;;;;;;;;329;288;;33
Warszawskie;Pułtusk;15756;11566;4190;371;345;26;;;149;222;8463;6962;1501;684;601;83;202;193;9;3459;2934;525;4118;3234;884;;;;;;;;754;;;;;;;;;;;;316;;;;;;;;;;;;;;;;;;;;;;;;;;424;;;;;;;;279;;881;;;;197;454;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2648;;996;;;1358;;1042;;308;249;;;;;;;;;373;;;;;;;531;;;;327;;;;;;;;;;;;;;1905;1379;526;278;2566;1650;916;;1911;1695;;161;;555;;382;;;;;;;100;760;723;37;;;;;;149;;421;;;;;210;;;190;3596;1886;1710;651;;303;;193;;;;;;;;;;;;153;;;;195;563;439;;307;;;;;;;;;;;;;;;;;;;;;;124;354;;;;;;;;;;;;;;;;;;861;787;;380
Warszawskie;Radzymin;13773;10281;3492;266;221;45;;;;;7404;6234;1170;1715;1559;156;135;119;16;1516;1327;189;4038;3229;809;;;;;;;;971;;;;;;;;;;;;186;214;;;;;;;;;;;;;;;;;;;;;;;;;1285;;;;;;586;;626;;476;;;;;327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1868;;688;;;1016;;778;;;231;;;;;;;;;333;;;;;;;713;;;;420;;;;;;;;;;;;;;773;495;278;540;2036;1289;747;;1412;1343;;;;483;;309;;;148;;;;141;1029;978;51;144;;;;;617;;183;;;;;97;;;85;3038;1559;1479;751;;451;185;238;;;;;;103;;;;;;;;;;197;473;326;;267;;;;;;;;;;;;;;;;;;;;;;147;324;;;;;;;;;180;;;;;;;;144;665;585;;240
Warszawskie;Rawa;8821;6142;2679;229;213;16;;;128;101;4913;3863;1050;1036;670;366;210;206;4;1083;907;176;2584;2080;504;;;;;;;;372;;;;;;;;;;;;180;130;;;;;;;;;;;;811;;;;;;802;;;;;;;;;;;;;;;;;465;;;;189;188;;;;;;;;;144;;;;;;;;;;;;;;;;;;;;;1164;;582;;;516;;657;;187;138;;;;;;;;;248;;;;;;;299;;;;209;;;;;;;;;;;;;;756;482;274;245;1250;778;472;;1001;937;;;;213;;116;;;;;;;36;325;315;10;;;;;;;;172;;;;;74;;;153;2104;973;1131;427;;188;;121;;;;;;73;;63;;;;117;;;;49;331;271;;256;;;;;;;;;;;;;;;;;;;;;;60;251;;;;;;;;;;;;;;;;;;559;490;;46
Warszawskie;Rypin;7561;5211;2350;247;228;19;124;37;86;;3961;3167;794;297;289;8;126;110;16;1380;1143;237;2158;1625;533;;;;;;;;306;;;;;;;;;;;;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;417;;;;74;162;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;1135;;546;;;497;;719;;124;111;;205;;;;;;;209;;;;;;;292;;;;203;;;;;;;;;;;;;;906;621;285;186;1174;764;410;;856;780;;;;269;;216;;;;;;;49;210;203;7;;;;;;;;91;;;;;;;65;54;1969;849;1120;381;;166;;103;;;;;;51;;;;;;108;;;;56;315;266;;234;;;;;;;;;;;;;;;;;;;;;;49;174;;;;;;;;;;;;;;;;;;703;366;;30
Warszawskie;Sierpc;8653;6238;2415;138;104;34;102;;;36;4827;3919;908;52;47;5;117;111;6;2285;1970;315;2373;1791;582;;;;;;;;369;;;;;;;;;;;;222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;357;;;;;220;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;1681;;698;;;862;;615;;184;172;;;;;;;;;213;;;;;;;315;;;;214;;;;;;;;;;;;;;1259;848;411;231;1493;1010;483;;1124;1055;;;;304;;221;;;;;;;65;304;295;9;;;;;;91;;133;;;;;63;;;80;1891;910;981;374;;160;;;;;;;;59;;;;;;104;;;;51;296;256;;227;;;;;;;;;;;;;;;;;;;;;;40;165;;;;;;;;;;;;;;;;;;590;452;;14
Warszawskie;Skierniewice;9761;7200;2561;168;149;19;;;95;73;4004;3358;646;263;205;58;183;173;10;935;811;124;2623;2169;454;;;;;;;;345;;;;;;;;;;;;140;;;;;;;;;;;;;;;;;;;;;;;;;;310;;;;;;;;231;;335;;;;;155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1263;;393;;;792;;600;;106;110;;;;;;;;;273;;;;;;;265;;;;154;;;;;;;;;;;;;;714;496;218;172;1193;707;486;;768;716;;;;372;;274;;;;;;;53;1434;1387;47;;;;;;1236;;118;;;;;;;;80;2962;1599;1363;327;;172;;104;;;;;;;;;;;;;;;;155;384;309;;211;;;;;;;;;;;;;;;;;;;;;;75;281;;;;;;;;;;;;;;;;;;626;840;;504
