pathString;Warszawskie;Łódzkie;Kieleckie;Lubelskie;Białostockie;Wileńskie;Nowogródzkie;Poleskie;Poznańskie;Pomorskie;Śląskie;Krakowskie;Lwowskie;Stanisławowskie;Tarnopolskie;Wołyńskie
/;379018;313920;489174;275766;194601;71654;77605;83703;368894;222575;471321;302813;286940;160311;139328;163261
/m/;270162;213866;357710;197258;138086;50284;54204;61831;255006;158501;356003;210639;199584;115608;97039;122895
/k/;108856;100054;131464;78508;56515;21370;23401;21872;113888;64074;115318;92174;87356;44703;42289;40366
/08-00/;7933;4506;6806;5610;5333;2542;2421;2562;11927;7739;2891;3285;4444;2582;2603;3644
/08-00/m/;6815;3895;6171;5043;4856;2310;2146;2374;10385;7072;2475;2984;3878;2305;2265;3377
/08-00/k/;1118;611;635;567;477;232;275;188;1542;667;416;301;566;277;338;267
/08-00/08/;4793;2604;1892;2180;1235;458;669;431;4293;1817;928;1007;1278;479;781;626
/08-00/09/;3833;2055;261;554;902;357;65;460;699;1771;644;207;888;78;92;225
/08-00/00/;960;549;4653;2876;333;1727;1687;1671;6935;4151;284;2071;390;2025;1730;2793
/08-00/Rest/;;;;;;;;;;;;;;;;
/1-2/;196710;191304;293772;129621;89373;25193;29317;32199;160149;87632;272620;150161;117871;69827;55744;63794
/1-2/m/;160616;140331;242356;105778;70329;19819;23234;26757;133927;73809;243905;123561;98954;59579;44310;54928
/1-2/k/;36094;50973;51416;23843;19044;5374;6083;5443;26222;13823;287715;26600;18917;10248;11434;8866
/1-2/I-III/;24200;39577;109910;7072;5992;111;1112;658;24503;11889;159791;39216;7317;9382;1047;3532
/1-2/I-III/m/;18989;24301;90699;6459;4211;87;708;497;21268;10038;149984;33349;6497;9055;526;3266
/1-2/I-III/k/;5211;15276;19211;613;1781;24;404;161;3235;1851;9807;5867;820;327;521;266
/1-2/IV-V/;13330;22627;29238;6288;8870;1219;1198;2272;18654;9694;23771;17150;8691;4670;1350;3539
/1-2/IV-V/m/;11464;16056;25273;5576;6952;981;1027;1957;15328;8271;19338;13824;7796;4317;1242;3161
/1-2/IV-V/k/;1866;6571;3965;712;1918;238;171;315;3326;1423;4433;3326;895;353;108;378
/1-2/VI-VII/;6135;9436;9479;4526;3997;884;1392;1518;11359;6188;9570;8017;11394;3941;2396;2546
/1-2/VI-VII/m/;5405;7555;8292;4020;3487;780;1230;1376;10259;5565;8245;7336;10941;3656;2117;2376
/1-2/VI-VII/k/;730;1881;1187;506;510;104;162;142;1100;623;1325;681;453;285;279;170
/1-2/VIII/;47304;57592;58374;35026;27635;5991;9265;12973;33928;16297;23457;26696;24430;13541;9076;19226
/1-2/VIII/m/;40455;45487;49089;28766;22270;4647;7469;10873;29423;14086;19500;22406;20686;11462;7467;16603
/1-2/VIII/k/;6849;12105;9285;6260;5365;1344;1796;2100;4505;2211;3957;4290;3744;2079;1609;2623
/1-2/cat_not_defined/;105741;62072;86771;76709;42879;16988;16350;14778;71705;43564;56031;59082;66039;38293;41875;34951
/1-2/cat_not_defined/m/;84303;46932;69003;60957;33409;13324;12800;12054;57649;35849;46838;46646;53034;31089;32958;29522
/1-2/cat_not_defined/k/;21438;15140;17768;15752;9470;3664;3550;2724;14056;7715;9193;12436;13005;7204;8917;5429
/1-2/10/;234;158;38725;102;28;20;11;5;1526;44;105357;14936;10067;3534;31;33
/1-2/10/101/;124;81;153;86;;;;;402;;;103;465;1401;;
/1-2/10/102/;;;34234;;;;;;201;;101194;11692;;;;
/1-2/10/103/;;;3362;;;;;;;;;16;;;;
/1-2/10/104/;;;959;;;;;;;;4071;250;;;;
/1-2/10/105/;;;;;;;;;862;;;1988;141;257;;
/1-2/10/106/;;;;;;;;;;;;887;9366;1857;;
/1-2/11-13/;22976;12148;56884;12884;6365;2471;2856;3007;21799;10852;59251;17396;12508;6203;5058;5900
/1-2/11-13/111/;3086;390;8336;979;269;;93;77;804;328;1348;598;692;213;98;113
/1-2/11-13/121/;1093;;;607;92;;;;182;421;347;;176;;;
/1-2/11-13/112/;;;668;;;;;;;;7797;247;;;;
/1-2/11-13/113/;;;20261;;;;;;;;21021;;;;;
/1-2/11-13/114/;;;1000;;;;;;;;9074;945;;;;
/1-2/11-13/115/;257;274;4781;102;;;;;379;1129;1842;844;107;;;
/1-2/11-13/116/;665;159;1723;559;84;;;;904;138;2620;745;228;;;
/1-2/11-13/117/;410;212;885;5312;;;;;340;;289;452;;;;
/1-2/11-13/118/;;;2843;;;;;;;;314;245;;;;
/1-2/11-13/119/;201;635;196;;;;;;;;390;115;109;;;
/1-2/11-13/122/;279;869;2008;;;;;;125;;1113;1328;;;;
/1-2/11-13/123/;5722;3960;4923;;3012;1654;1736;1802;6581;3630;1981;3194;4594;2834;2753;3317
/1-2/11-13/124/;4611;2462;3391;2228;1594;417;547;606;4444;2593;3972;3466;3228;1402;1122;1298
/1-2/11-13/125/;1060;764;1017;791;385;126;159;215;877;425;885;903;1079;684;639;523
/1-2/11-13/127/;738;554;2762;119;82;;;;1320;125;3627;1285;562;233;;
/1-2/11-13/128/;516;468;484;1170;162;;;;1524;1151;;112;;137;;177
/1-2/11-13/129/;376;212;;;;;;;;;;1430;;;;
/1-2/11-13/132/;587;;;;;;;;1720;;;;698;;;
/1-2/11-13/133/;935;98;181;114;119;;;;578;164;388;224;;;;
/1-2/11-13/134/;1358;312;399;110;;;;;712;133;1320;645;;;;
/1-2/11-13/135/;200;;122;217;;;;;144;;258;;;;;
/1-2/11-13/136/;119;132;;;;;;;309;;;;;;;
/1-2/11-13/137/;650;464;663;450;343;127;143;137;617;360;445;446;563;278;252;246
/1-2/11-13/Rest/;113;183;241;126;223;147;178;173;239;255;220;172;472;422;194;226
/1-2/14-15/;4569;5585;6970;775;1374;224;646;766;2233;2528;8330;5632;3240;584;169;838
/1-2/14-15/141/;998;381;3060;;190;;;151;648;241;1798;579;260;;;
/1-2/14-15/142/;;;;;782;154;233;116;;;;76;;;;253
/1-2/14-15/143/;;;;;;;;;;;2057;;;;;
/1-2/14-15/144/;;;;;;;;;;;427;1645;2171;224;;
/1-2/14-15/146/;520;;270;;;;;366;;;175;;;;;
/1-2/14-15/147/;1816;4016;726;;;;;;;;;;;;;
/1-2/14-15/148/;312;210;723;;;;315;;247;1908;;;414;;;
/1-2/14-15/149/;111;;879;;;;;;857;;3013;2641;112;;;
/1-2/14-15/152/;87;;598;;;;;;142;;413;358;;;;
/1-2/14-15/153/;79;;173;71;;;;;;;192;69;;;;
/1-2/14-15/154/;242;123;179;488;184;;;;122;222;;;114;106;;441
/1-2/14-15/155/;373;736;284;;;;;;;;180;;;;;
/1-2/16/;9066;5908;15226;4681;2737;452;1021;600;7657;2652;6547;9745;3790;1454;1341;3355
/1-2/16/161/;314;;589;40;;;;360;175;128;255;385;92;89;;
/1-2/16/162/;;;1435;83;;;;;;365;547;2139;100;155;244;1303
/1-2/16/163/;;175;1700;58;;;;;904;;349;987;223;139;149;
/1-2/16/164/;;;2561;289;120;;;;;70;803;1268;5;;;180
/1-2/16/165/;159;293;313;210;107;;;;354;80;414;506;275;155;;124
/1-2/16/166/;4912;2789;3228;1559;921;151;226;;3513;1366;2500;2503;1862;409;363;996
/1-2/16/167/;1493;465;2318;401;613;105;126;78;1609;255;1244;1122;396;306;281;138
/1-2/16/168/;1893;1968;2847;1902;798;110;551;;794;;227;494;668;;;462
/1-2/16/169/;245;103;275;139;138;;;;220;378;208;341;169;164;202;106
/1-2/17-18/;13736;12614;19875;15650;11978;2983;4121;6509;19819;11781;10084;14210;15632;19333;6902;10167
/1-2/17-18/171/;686;828;1188;787;1130;;139;993;1267;706;626;727;563;358;206;187
/1-2/17-18/172/;502;230;1267;1770;1280;683;669;1194;1311;1005;468;361;1282;4103;438;1560
/1-2/17-18/173/;58;7;567;68;;;357;319;;;208;5;678;3433;272;459
/1-2/17-18/174/;1415;1143;4723;1927;3781;396;583;1057;3382;1769;1931;2845;2911;6078;534;2176
/1-2/17-18/175/;7764;6535;9132;7981;4726;1564;2142;2560;9200;5661;5125;7496;7350;3883;3936;4609
/1-2/17-18/176/;130;1747;381;243;;;;;;;523;1030;8;4;;25
/1-2/17-18/177/;332;378;582;563;170;;;72;340;237;122;248;416;296;242;268
/1-2/17-18/178/;1854;1202;1356;1479;649;132;139;194;3314;1623;595;737;1159;925;1144;656
/1-2/17-18/179/;658;325;360;596;88;;;;631;576;139;438;1015;126;;116
/1-2/17-18/182/;327;219;319;236;152;;;;358;192;347;323;250;127;;111
/1-2/19/;2885;701;3323;147;109;732;129;29;824;193;2133;1622;118;63;80;48
/1-2/19/192/;2618;448;2267;8;;732;126;;509;128;1709;1078;15;;;
/1-2/19/193/;267;253;1056;139;;;3;;315;65;424;544;103;;;
/1-2/20-21/;6837;61245;22804;2097;8036;580;319;352;1036;290;4784;11468;1040;2820;1703;509
/1-2/20-21/201/;307;3492;374;115;500;193;;;;;783;1544;;203;;
/1-2/20-21/202/;;11;;807;;;;;;;;;;;;
/1-2/20-21/203/;148;1561;127;;489;;;;;;;;;;;
/1-2/20-21/204/;;2421;244;;;;;;;;732;;;;;
/1-2/20-21/205/;;601;2826;;495;;;;;;;467;;;;
/1-2/20-21/206/;515;18899;919;;1035;;;;138;;;327;445;1540;1008;209
/1-2/20-21/207/;;6788;296;;;;;;;;;1955;;;;
/1-2/20-21/208/;;2566;;;1603;;;;;;1145;1762;;;;
/1-2/20-21/209/;3807;5237;13240;;;;;;249;;159;1005;;;;
/1-2/20-21/212/;;10567;169;;;;;;;;;;;;;
/1-2/20-21/213/;;2383;;;2713;;;;;;1298;2905;;;;
/1-2/20-21/214/;134;2540;248;126;703;;;;;;210;466;;;;
/1-2/20-21/215/;;474;;;;;;;;;;263;;729;367;
/1-2/20-21/216/;282;232;314;369;100;;;;104;;;213;175;84;142;105
/1-2/20-21/217/;1333;3473;920;562;279;;;;170;;;48;;120;;
/1-2/22/;2479;1940;3347;3107;2724;584;598;500;2381;885;1245;278;1039;980;435;738
/1-2/22/221/;90;108;95;1015;182;16;;;64;;153;308;70;20;115;
/1-2/22/222/;916;838;1917;921;1962;375;318;211;525;117;455;524;228;648;;315
/1-2/22/223/;1356;866;1007;;526;193;265;276;1558;712;493;528;481;229;231;370
/1-2/22/224/;;128;328;;54;;;;234;;144;365;260;83;;
/1-2/23/;45391;36371;52786;42388;23358;7664;8555;9211;23763;13309;13548;25318;27879;14370;15781;16845
/1-2/23/231/;715;540;1163;334;126;;;41;294;;309;495;216;123;48;57
/1-2/23/232/;19255;18166;21571;19623;12705;4496;5088;4994;12530;7305;7477;12178;14028;6652;7964;8391
/1-2/23/233/;2548;2730;2362;1761;946;303;246;296;978;719;1084;2159;1167;706;494;439
/1-2/23/234/;348;267;483;1148;321;;;191;87;;135;573;1023;1265;582;332
/1-2/23/235/;21552;13824;25980;18603;8621;2658;2869;3354;9569;4675;3828;9155;10833;5390;6489;6968
/1-2/23/236/;973;844;1227;919;639;162;275;335;305;415;715;758;612;234;204;658
/1-2/24-25/;29151;19261;23067;19365;11366;2935;4157;3800;37984;16220;16832;13845;14639;6904;8921;10469
/1-2/24-25/241/;644;373;340;240;141;;;;787;660;451;683;325;126;99;145
/1-2/24-25/242/;5014;4173;4717;5733;2243;935;1335;986;4280;2332;561;1529;2661;1917;3450;4359
/1-2/24-25/243/;5568;4785;6045;3934;3181;817;891;812;6600;3228;5481;3439;3145;1235;1131;1509
/1-2/24-25/244/;603;40;583;295;176;;;;854;611;857;748;305;98;;122
/1-2/24-25/245/;6416;889;720;2235;;;;;10061;1749;328;;1152;187;;555
/1-2/24-25/246/;220;123;144;257;;79;;;797;307;;98;363;82;257;
/1-2/24-25/247/;411;270;600;315;273;;81;;943;563;1091;1080;277;256;221;216
/1-2/24-25/248/;297;178;161;80;176;;;129;462;417;504;450;187;107;;177
/1-2/24-25/249/;296;249;392;181;212;;82;105;148;76;223;270;209;126;;169
/1-2/24-25/252/;126;77;90;;;;;;956;85;;;10;;;
/1-2/24-25/253/;818;440;367;569;297;132;274;115;1341;887;233;252;473;224;167;131
/1-2/24-25/254/;8612;7402;8202;5474;3805;779;1298;1453;9423;4931;6436;5082;5069;2514;2648;2966
/1-2/24-25/255/;126;62;706;;790;;;;1332;374;573;197;463;;736;
/1-2/26/;1764;1019;2110;1313;951;172;421;305;1820;1399;1845;1154;1222;470;426;677
/1-2/26/261/;93;38;107;254;49;;163;;29;;57;41;213;;;20
/1-2/26/262/;1097;600;1131;563;440;;101;124;1312;1091;1357;680;531;258;212;306
/1-2/26/263/;260;263;406;232;250;;59;;155;;171;186;226;;;109
